DATE,03-01-1995,IPG2211A2N,,Age,Month,days,md,md,,NETWORK DAYS,,YEAR,MONTH,DAY,WEEKDAY,WEEKNUM,NUMBER OF YEARS,,,,,,,
01-01-1985,04-01-1995,72.5052,,38,466,14210,331,27,,2612,,1985,1,1,3,1,10,,,,,,,
02-01-1985,05-01-1995,70.672,,38,466,14209,330,26,,2612,,1985,1,2,4,1,,,,,,,,
03-01-1985,06-01-1995,62.4502,,38,466,14208,329,25,,2612,,1985,1,3,5,1,,,,,,,,
04-01-1985,07-01-1995,57.4714,,38,466,14207,328,24,,2611,,1985,1,4,6,1,,,,,,,,
05-01-1985,08-01-1995,55.3151,,38,466,14206,327,23,,2610,,1985,1,5,7,1,,,,,,,,
06-01-1985,09-01-1995,58.0904,,38,466,14205,326,22,,2611,,1985,1,6,1,2,,,,,,,,
07-01-1985,10-01-1995,62.6202,,38,466,14204,325,21,,2612,,1985,1,7,2,2,,,,,,,,
08-01-1985,11-01-1995,63.2485,,38,466,14203,324,20,,2612,,1985,1,8,3,2,,,,,,,,
09-01-1985,12-01-1995,60.5846,,38,466,14202,323,19,,2612,,1985,1,9,4,2,,,,,,,,
10-01-1985,01-01-1996,56.3154,,38,466,14201,322,18,,2863,,1985,1,10,5,2,,,,,,,,
11-01-1985,02-01-1996,58.0005,,38,466,14200,321,17,,2863,,1985,1,11,6,2,,,,,,,,
12-01-1985,03-01-1996,68.7145,,38,466,14199,320,16,,2863,,1985,1,12,7,2,,,,,,,,
01-01-1986,04-01-1996,73.3057,,37,454,13845,331,27,,2612,,1986,1,1,4,1,,,,,,,,
02-01-1986,05-01-1996,67.9869,,37,454,13844,330,26,,2612,,1986,1,2,5,1,,,,,,,,
03-01-1986,06-01-1996,62.2221,,37,454,13843,329,25,,2611,,1986,1,3,6,1,,,,,,,,
04-01-1986,07-01-1996,57.0329,,37,454,13842,328,24,,2610,,1986,1,4,7,1,,,,,,,,
05-01-1986,08-01-1996,55.8137,,37,454,13841,327,23,,2611,,1986,1,5,1,2,,,,,,,,
06-01-1986,09-01-1996,59.9005,,37,454,13840,326,22,,2612,,1986,1,6,2,2,,,,,,,,
07-01-1986,10-01-1996,65.7655,,37,454,13839,325,21,,2612,,1986,1,7,3,2,,,,,,,,
08-01-1986,11-01-1996,64.4816,,37,454,13838,324,20,,2612,,1986,1,8,4,2,,,,,,,,
09-01-1986,12-01-1996,61.0005,,37,454,13837,323,19,,2612,,1986,1,9,5,2,,,,,,,,
10-01-1986,01-01-1997,57.5322,,37,454,13836,322,18,,2864,,1986,1,10,6,2,,,,,,,,
11-01-1986,02-01-1997,59.3417,,37,454,13835,321,17,,2864,,1986,1,11,7,2,,,,,,,,
12-01-1986,03-01-1997,68.1354,,37,454,13834,320,16,,2865,,1986,1,12,1,3,,,,,,,,
01-01-1987,04-01-1997,73.8152,,36,442,13480,331,27,,2612,,1987,1,1,5,1,,,,,,,,
02-01-1987,05-01-1997,70.062,,36,442,13479,330,26,,2611,,1987,1,2,6,1,,,,,,,,
03-01-1987,06-01-1997,65.61,,36,442,13478,329,25,,2611,,1987,1,3,7,1,,,,,,,,
04-01-1987,07-01-1997,60.1586,,36,442,13477,328,24,,2612,,1987,1,4,1,2,,,,,,,,
05-01-1987,08-01-1997,58.8734,,36,442,13476,327,23,,2613,,1987,1,5,2,2,,,,,,,,
06-01-1987,09-01-1997,63.8918,,36,442,13475,326,22,,2613,,1987,1,6,3,2,,,,,,,,
07-01-1987,10-01-1997,68.8694,,,,,,,,,,,,,,,,,,,,,,
08-01-1987,11-01-1997,70.0669,,,,,,,,,,,,,,,,,,,,,,
09-01-1987,12-01-1997,64.1151,,,,,,,,,,,,,,,,,,,,,,
10-01-1987,01-01-1998,60.3789,,,,,,,,,,,,,,,,,,,,,,
11-01-1987,02-01-1998,62.4643,,,,,,,,,,,,,,,,,,,,,,
12-01-1987,03-01-1998,70.5777,,,,,,,,,,,,,,,,,,,,,,
01-01-1988,04-01-1998,79.8703,,,,,,,,,,,,,,,,,,,,,,
02-01-1988,05-01-1998,76.1622,,,,,,,,,,,,,,,,,,,,,,
03-01-1988,06-01-1998,70.2928,,,,,,,,,,,,,,,,,,,,,Unit Code for Datedif,
04-01-1988,07-01-1998,63.2384,,,,,,,,,,,,,,,,,,,,,"""y""",The number of complete years in the  period.
05-01-1988,08-01-1998,61.4065,,,,,,,,,,,,,,,,,,,,,"""m""",THE number of complete month in the  period.
